id,accX,accY,accZ,gyroX,gyroY,gyroZ,timestamp
02220779-a9be-4e09-8caf-f7273779521d,0.63,-0.71,-0.29,,,,2024-03-22 16:03:00.056
022217c1-e7c3-4fb2-90cd-c2bc035a5ce1,1.41,0.62,-0.97,,,,2024-03-22 15:59:50.979
02228e81-b2e9-4994-93ed-a38a401420b9,0.84,0.51,0.11,,,,2024-03-22 16:04:52.923
0225cc15-4fcb-4475-a51c-fc8338dda2d8,-0.87,0.48,0.2,,,,2024-03-22 16:04:01.846
02291ab9-6257-4895-af3e-c606a708a2d2,-0.09,0.28,1.04,,,,2024-03-22 16:01:08.156
022d04d6-d35b-4e47-8e01-5aacbc02230d,0.29,-1.56,-1.42,,,,2024-03-22 16:02:40.984
022ffb19-9b24-428e-94bd-5897108d1c39,0.74,0.78,-0.08,,,,2024-03-22 16:04:33.261
02314747-2709-40bc-8b92-80e8183d8bfb,-0.35,0.68,0.34,,,,2024-03-22 16:01:06.896
02353e12-9bdf-4db8-8e95-238c34a97978,0.08,-0.02,-0.07,,,,2024-03-22 16:02:30.141
0236cd57-0941-48c6-a59b-1b0758a97180,0.97,-1.12,-0.92,,,,2024-03-22 16:02:51.154
02376267-de0d-4628-a9d0-2d2220e5f388,0.43,0.67,0.63,,,,2024-03-22 15:59:45.392
023893a8-f3fc-4cd4-971a-7c58ae428558,1.93,-1.12,0.28,,,,2024-03-22 16:01:55.205
023b1799-a249-4c26-a9b3-d0fcbc745f22,0.09,0.35,-0.06,,,,2024-03-22 16:04:39.560
023e8a4c-0b6c-4576-96a9-01bc35978617,-0.54,-0.53,-0.55,,,,2024-03-22 16:00:48.887
023ebeb9-3dce-4475-a664-6a0142a8c4d9,-0.01,0.89,0.15,,,,2024-03-22 16:01:38.615
024162e7-1347-4ec0-bc47-703c7960ac37,-0.4,0.47,-0.67,,,,2024-03-22 16:01:04.318
0242194d-e4d8-4a42-a858-d3c4338e87b5,0.94,0.26,1.58,,,,2024-03-22 16:00:01.150
024487ba-889b-4b2e-a339-6f0d31f3f35a,0.9,7.68,-4.35,,,,2024-03-22 16:02:52.011
024855ca-3fc4-4550-9780-0c3cd700b741,0.3,-0.01,1.16,,,,2024-03-22 16:00:57.711
0248ea01-43d1-47be-a35f-6d128c83f4b9,0.05,0.18,-0.01,,,,2024-03-22 16:02:25.679
0248f2a8-fd6a-4be0-af3e-3d3e602c5e67,0.77,0.4,0.07,,,,2024-03-22 16:04:33.528
024a65e8-a620-4f7e-8d62-9cc259527fed,3.15,-0.5,0.95,,,,2024-03-22 16:02:09.078
024b1ca5-0abe-4eee-b6c9-554925a9b918,-1.14,0.07,-0.0,,,,2024-03-22 16:01:23.504
